budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
2600000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",,10895,"[{""id"": 131, ""name"": ""italy""}, {""id"": 2251, ""name"": ""lie""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2710, ""name"": ""fairy""}, {""id"": 3244, ""name"": ""pinocchio""}, {""id"": 3473, ""name"": ""carnival""}, {""id"": 4896, ""name"": ""wish""}, {""id"": 5202, ""name"": ""boy""}, {""id"": 5560, ""name"": ""nose""}, {""id"": 6300, ""name"": ""puppet""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10499, ""name"": ""pool""}, {""id"": 33674, ""name"": ""conscience""}, {""id"": 33675, ""name"": ""jackass""}, {""id"": 33676, ""name"": ""figaro""}, {""id"": 33677, ""name"": ""sneezing""}, {""id"": 187065, ""name"": ""toy comes to life""}]",en,Pinocchio,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket. From Stromboli's circus to Pleasure Island, Pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. With a few mishaps along the way, Geppetto's ""little woodenhead"" finally gets it right, proving that when you wish upon a star dreams really can come true!",46.007991,"[{""name"": ""RKO Radio Pictures"", ""id"": 6}, {""name"": ""Walt Disney Productions"", ""id"": 3166}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/23/1940,84300000,88,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,For anyone who has ever wished upon a star.,Pinocchio,6.9,1355
92620000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",,19,"[{""id"": 312, ""name"": ""man vs machine""}, {""id"": 1001, ""name"": ""underground world""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1761, ""name"": ""metropolis""}, {""id"": 2346, ""name"": ""worker""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3223, ""name"": ""machine town""}, {""id"": 3640, ""name"": ""work""}, {""id"": 4034, ""name"": ""class society""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5966, ""name"": ""tower of babel""}, {""id"": 6662, ""name"": ""delirium""}, {""id"": 10012, ""name"": ""chase scene""}, {""id"": 10125, ""name"": ""mad scientist""}, {""id"": 11222, ""name"": ""prophet""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14796, ""name"": ""destruction""}, {""id"": 154802, ""name"": ""silent film""}, {""id"": 201028, ""name"": ""depravity""}, {""id"": 206472, ""name"": ""masterpiece""}, {""id"": 234109, ""name"": ""downtrodden""}, {""id"": 234110, ""name"": ""saviour""}]",de,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",32.351527,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Universum Film (UFA)"", ""id"": 12372}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",1/10/1927,650422,153,"[{""iso_639_1"": ""xx"", ""name"": ""No Language""}]",Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8,657
0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,43867,"[{""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2505, ""name"": ""coronation""}, {""id"": 3289, ""name"": ""villain""}, {""id"": 4152, ""name"": ""kingdom""}, {""id"": 5515, ""name"": ""heir to the throne""}, {""id"": 9920, ""name"": ""royalty""}, {""id"": 10325, ""name"": ""mistaken identity""}, {""id"": 13084, ""name"": ""king""}, {""id"": 177035, ""name"": ""identity swap""}, {""id"": 204060, ""name"": ""monarch""}, {""id"": 235228, ""name"": ""lookalikes""}, {""id"": 236891, ""name"": ""beautiful princess""}]",en,The Prisoner of Zenda,"An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped.",4.021389,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Selznick International Pictures"", ""id"": 1553}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/3/1937,0,101,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The most thrilling swordfight ever filmed...,The Prisoner of Zenda,8.4,11
8250000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",,11620,"[{""id"": 5049, ""name"": ""ancient rome""}, {""id"": 6917, ""name"": ""epic""}, {""id"": 9144, ""name"": ""kaiser nero""}]",en,Quo Vadis,"Set against the back drop of Rome in crisis, General Marcus Vinicius returns to the city from the battle fields and falls in love with a Christian woman, Lygia. Caught in the grip of insanity, Nero's atrocities become more extreme and he burns Rome, laying the blame on the Christians. Vinicius races to save Lygia from the wrath of Nero as the empire of Rome collapses around them.",7.973109,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/8/1951,30000000,171,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,THIS IS THE BIG ONE! The splendor and savagery of the world's wickedest empire! Three hours of spectacle you'll remember for a lifetime!,Quo Vadis,7,63
6000000,"[{""id"": 37, ""name"": ""Western""}]",,32275,"[{""id"": 183528, ""name"": ""half breed""}]",en,Duel in the Sun,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",7.60445,"[{""name"": ""The Selznik Studio"", ""id"": 62}, {""name"": ""Vanguard Films"", ""id"": 614}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/31/1946,20400000,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Emotions . . . As Violent As The Wind-Swept Prairie !,Duel in the Sun,6.2,37
4100000,"[{""id"": 18, ""name"": ""Drama""}]",,29912,"[{""id"": 3571, ""name"": ""crucifixion""}, {""id"": 5049, ""name"": ""ancient rome""}]",en,The Robe,"Marcellus is a tribune in the time of Christ. He is in charge of the group that is assigned to crucify Jesus. Drunk, he wins Jesus' homespun robe after the crucifixion. He is tormented by nightmares and delusions after the event. Hoping to find a way to live with what he has done, and still not believing in Jesus, he returns to Palestine to try and learn what he can of the man he killed.",4.028875,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/16/1953,36000000,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The first motion picture in CinemaScope--the modern miracle you see without glasses!,The Robe,6.4,42
5000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",,173,"[{""id"": 269, ""name"": ""diving""}, {""id"": 270, ""name"": ""ocean""}, {""id"": 339, ""name"": ""submarine""}, {""id"": 385, ""name"": ""jules verne""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 2768, ""name"": ""atlantis""}, {""id"": 2769, ""name"": ""deep sea""}, {""id"": 2770, ""name"": ""war ship""}, {""id"": 2772, ""name"": ""diving suit""}, {""id"": 3193, ""name"": ""harpoon""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 6091, ""name"": ""war""}, {""id"": 10503, ""name"": ""scuba diving""}, {""id"": 14785, ""name"": ""underwater""}, {""id"": 155334, ""name"": ""scuba""}, {""id"": 191409, ""name"": ""captain nemo""}, {""id"": 219972, ""name"": ""giant  squid""}]",en,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",9.358197,"[{""name"": ""Walt Disney Productions"", ""id"": 3166}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/23/1954,28200000,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The mightiest motion picture of them all!,"20,000 Leagues Under the Sea",6.8,157
5000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",,24973,"[{""id"": 1160, ""name"": ""egypt""}]",en,The Egyptian,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",4.079111,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/25/1954,15000000,139,"[{""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"To Nefer, shameless temptress of Babylon, he surrendered his parents' hope of immortality!",The Egyptian,6,11
5000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,29996,"[{""id"": 536, ""name"": ""israel""}, {""id"": 1160, ""name"": ""egypt""}, {""id"": 3684, ""name"": ""religion and supernatural""}, {""id"": 6917, ""name"": ""epic""}]",en,Solomon and Sheba,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.",0.835617,"[{""name"": ""Edward Small Productions"", ""id"": 13479}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/25/1959,12200000,139,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Only once in 3000 years...anything like...,Solomon and Sheba,5.4,8
4,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,22649,"[{""id"": 131, ""name"": ""italy""}, {""id"": 428, ""name"": ""nurse""}, {""id"": 3452, ""name"": ""love letter""}, {""id"": 3776, ""name"": ""officer""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 12392, ""name"": ""best friend""}, {""id"": 156764, ""name"": ""pre-code""}, {""id"": 158547, ""name"": ""air raid""}, {""id"": 185034, ""name"": ""ambulance driver""}, {""id"": 185037, ""name"": ""battle of the isonzo""}, {""id"": 233360, ""name"": ""air attack""}]",en,A Farewell to Arms,"British nurse Catherine Barkley (Helen Hayes) and American Lieutenant Frederic Henry (Gary Cooper) fall in love during the First World War in Italy. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each, as the war rages on. Academy Awards winner for Best Cinematography and for Best Sound, Recording. Nominated for Best Picture and for Best Art Direction.",1.199451,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/8/1932,25,89,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every woman who has loved will understand,A Farewell to Arms,6.2,28
