Sample file	Band no.	Run time	Size	Height	Area	Run time
15B	1	35.40	70.43	216	1111	354
15B	2	36.90	76.86	252	1318	369
15B	3	55.40	154.72	717	5726	554
15B	4	62.20	183.46	120	1520	622
15B	5	70.00	215.72	1644	12165	700
15B	6	78.40	251.33	1113	6840	784
15B	7	94.40	324.17	196	1141	944
15B	8	95.20	327.98	110	730	952
15B	9	97.50	339.02	130	678	975
15B	10	101.80	360.01	101	387	1018
15B	11	109.30	398.24	437	4151	1093
15B	12	112.80	416.93	145	1511	1128
15B	13	121.30	464.73	160	1004	1213
15B	14	122.10	469.41	175	1186	1221
15B	15	135.40	552.17	113	512	1354
15B	16	136.80	561.41	150	876	1368
15B	17	139.70	581.00	231	1585	1397
15B	18	146.60	630.13	281	1580	1466
15B	19	153.00	679.18	419	3926	1530
15B	20	156.90	710.89	207	1082	1569
15B	21	163.70	769.81	203	1377	1637
15B	22	169.20	821.18	197	1379	1692
15B	23	210.70		239	2766	2107
16B	1	30.90	50.32	120	557	309
16B	2	35.30	69.74	363	1946	353
16B	3	36.80	76.35	169	1108	368
16B	4	50.50	134.62	170	2053	505
16B	5	55.30	154.84	955	8872	553
16B	6	64.40	192.97	100	538	644
16B	7	67.80	207.13	103	953	678
16B	8	69.70	215.16	794	6394	697
16B	9	78.10	251.08	1960	13690	781
16B	10	81.60	266.33	166	1317	816
16B	11	97.30	339.15	128	771	973
16B	12	101.60	360.02	131	478	1016
16B	13	109.00	397.88	233	2109	1090
16B	14	121.00	464.69	137	1316	1210
16B	15	136.50	561.48	314	2020	1365
16B	16	139.30	580.42	269	2086	1393
16B	17	152.70	679.60	180	1611	1527
16B	18	161.50	753.53	151	925	1615
16B	19	162.10	758.86	181	1181	1621
16B	20	163.30	769.64	192	1580	1633
16B	21	168.80	821.16	207	1467	1688
17B	1	33.00	60.47	228	929	330
17B	2	34.60	67.53	201	815	346
17B	3	43.30	106.02	113	855	433
17B	4	52.90	146.14	381	1908	529
17B	5	88.20	298.95	131	690	882
17B	6	89.00	302.68	1425	7821	890
17B	7	155.40	709.46	304	1800	1554
17B	8	158.50	736.00	182	966	1585
17B	9	165.10	796.02	121	713	1651
18B	1	33.10	61.79	197	1308	331
18B	2	34.90	69.74	122	672	349
18B	3	35.80	73.71	181	1062	358
18B	4	38.30	84.74	182	902	383
18B	5	54.80	155.01	590	3707	548
18B	6	60.20	177.94	683	3513	602
18B	7	69.10	215.57	440	2731	691
18B	8	76.60	247.61	121	651	766
18B	9	77.70	252.30	312	1761	777
18B	10	93.20	323.82	1245	6175	932
18B	11	94.10	328.10	261	2106	941
18B	12	107.90	397.79	1319	11553	1079
18B	13	120.70	470.00	802	4926	1207
18B	14	121.90	476.99	103	995	1219
18B	15	132.70	544.46	278	2850	1327
18B	16	133.90	552.38	144	873	1339
18B	17	138.10	580.89	109	734	1381
18B	18	142.40	611.44	121	620	1424
18B	19	143.00	615.81	179	1493	1430
18B	20	143.80	621.69	126	744	1438
18B	21	151.90	684.31	102	921	1519
18B	22	153.00	693.27	128	923	1530
18B	23	161.30	764.75	115	742	1613
18B	24	162.10	772.03	118	751	1621
18B	25	168.80	835.74	107	712	1688
19B	1	31.10	53.41	100	483	311
19B	2	33.00	61.79	175	785	330
19B	3	34.90	70.18	1758	10330	349
19B	4	36.40	76.79	326	3854	364
19B	5	54.60	154.87	1066	9171	546
19B	6	59.90	177.52	145	669	599
19B	7	61.50	184.30	117	837	615
19B	8	63.70	193.54	143	755	637
19B	9	67.00	207.48	177	679	670
19B	10	67.50	209.60	236	1682	675
19B	11	68.90	215.57	1094	8775	689
19B	12	74.80	240.96	173	1034	748
19B	13	76.40	247.79	109	565	764
19B	14	77.20	251.26	1512	9193	772
19B	15	80.70	266.74	346	2195	807
19B	16	88.70	303.53	128	603	887
19B	17	96.20	339.28	441	3113	962
19B	18	100.40	360.00	181	638	1004
19B	19	103.10	373.81	197	1021	1031
19B	20	107.20	395.38	308	1465	1072
19B	21	107.70	398.06	382	3056	1077
19B	22	111.00	416.03	902	11417	1110
19B	23	119.50	464.64	383	3482	1195
19B	24	134.90	561.38	443	3683	1349
19B	25	137.70	580.27	226	1474	1377
19B	26	142.40	613.30	102	1051	1424
19B	27	144.50	628.63	273	1972	1445
19B	28	150.80	676.89	1033	11980	1508
19B	29	154.70	708.60	431	3469	1547
19B	30	159.50	749.75	441	2729	1595
19B	31	160.20	755.95	130	1061	1602
19B	32	161.30	765.81	165	1384	1613
19B	33	166.90	818.22	508	4040	1669
19B	34	168.10	829.98	102	973	1681
19B	35	181.70	981.57	106	1363	1817
19B	36	182.90	996.68	307	3390	1829
19B	37	208.00		113	1881	2080
