year,dep_delay,carrier,origin,dest,air_time,distance
2013,52,EV,EWR,ALB,31,143
2013,5,EV,EWR,ALB,33,143
2013,85,EV,EWR,ALB,31,143
2013,57,EV,EWR,ALB,31,143
2013,96,EV,EWR,ALB,30,143
2013,5,EV,EWR,ALB,30,143
2013,62,EV,EWR,ALB,45,143
2013,63,EV,EWR,ALB,34,143
2013,94,EV,EWR,ALB,34,143
2013,91,EV,EWR,ALB,31,143
2013,53,EV,EWR,ALB,32,143
2013,63,EV,EWR,ALB,33,143
2013,77,EV,EWR,ALB,34,143
2013,58,EV,EWR,ALB,37,143
2013,50,MQ,LGA,ATL,127,762
2013,6,EV,EWR,ATL,138,746
2013,6,DL,LGA,ATL,126,762
2013,67,MQ,LGA,ATL,127,762
2013,85,EV,EWR,ATL,137,746
2013,9,DL,LGA,ATL,126,762
2013,5,FL,LGA,ATL,145,762
2013,5,DL,EWR,ATL,122,746
2013,8,MQ,LGA,ATL,119,762
2013,65,MQ,LGA,ATL,127,762
2013,60,MQ,LGA,ATL,119,762
2013,55,EV,EWR,ATL,121,746
2013,5,DL,LGA,ATL,111,762
2013,5,DL,EWR,ATL,121,746
2013,5,FL,LGA,ATL,134,762
2013,63,MQ,LGA,ATL,130,762
2013,91,DL,EWR,ATL,102,746
2013,8,EV,EWR,ATL,130,746
2013,6,DL,EWR,ATL,116,746
2013,6,DL,LGA,ATL,115,762
2013,9,DL,LGA,ATL,113,762
2013,8,DL,LGA,ATL,109,762
2013,68,FL,LGA,ATL,116,762
2013,74,EV,EWR,ATL,121,746
2013,599,DL,JFK,ATL,116,760
2013,7,DL,LGA,ATL,121,762
2013,75,DL,LGA,ATL,122,762
2013,6,FL,LGA,ATL,129,762
2013,78,EV,EWR,ATL,133,746
2013,8,DL,LGA,ATL,133,762
2013,94,EV,EWR,ATL,139,746
2013,9,DL,JFK,ATL,123,760
2013,5,DL,JFK,ATL,113,760
2013,5,FL,LGA,ATL,115,762
2013,9,DL,LGA,ATL,124,762
2013,5,DL,EWR,ATL,123,746
2013,8,DL,EWR,ATL,110,746
2013,74,EV,EWR,ATL,123,746
2013,6,FL,LGA,ATL,118,762
2013,63,MQ,LGA,ATL,130,762
2013,7,MQ,LGA,ATL,138,762
2013,84,EV,EWR,ATL,130,746
2013,66,DL,LGA,ATL,123,762
2013,9,DL,EWR,ATL,121,746
2013,85,EV,EWR,ATL,120,746
2013,98,FL,LGA,ATL,121,762
2013,81,FL,LGA,ATL,117,762
2013,57,MQ,LGA,ATL,115,762
2013,5,FL,LGA,ATL,118,762
2013,6,FL,LGA,ATL,122,762
2013,8,DL,EWR,ATL,116,746
2013,6,DL,LGA,ATL,105,762
2013,74,MQ,LGA,ATL,108,762
2013,54,DL,EWR,ATL,104,746
2013,9,DL,EWR,ATL,128,746
2013,82,DL,LGA,ATL,109,762
2013,6,DL,EWR,ATL,113,746
2013,6,DL,LGA,ATL,114,762
2013,7,FL,LGA,ATL,114,762
2013,98,DL,EWR,ATL,113,746
2013,91,DL,EWR,ATL,115,746
2013,73,DL,EWR,ATL,106,746
2013,56,DL,LGA,ATL,138,762
2013,62,MQ,LGA,ATL,164,762
2013,70,DL,JFK,ATL,132,760
2013,83,FL,LGA,ATL,135,762
2013,56,DL,LGA,ATL,134,762
2013,85,DL,EWR,ATL,137,746
2013,60,FL,LGA,ATL,144,762
2013,51,DL,LGA,ATL,138,762
2013,83,FL,LGA,ATL,131,762
2013,6,DL,JFK,ATL,127,760
2013,6,DL,LGA,ATL,130,762
2013,54,FL,LGA,ATL,136,762
2013,81,FL,LGA,ATL,127,762
2013,72,DL,LGA,ATL,127,762
2013,6,AA,JFK,AUS,252,1521
2013,5,B6,JFK,AUS,259,1521
2013,7,UA,EWR,AUS,227,1504
2013,76,UA,EWR,AUS,250,1504
2013,93,UA,EWR,AUS,235,1504
2013,65,AA,JFK,AUS,272,1521
2013,6,B6,JFK,AUS,256,1521
2013,67,UA,EWR,AUS,211,1504
2013,84,AA,JFK,AUS,227,1521
2013,9,AA,JFK,AUS,224,1521
2013,71,UA,EWR,AUS,215,1504
2013,69,AA,JFK,AUS,211,1521
2013,59,AA,JFK,AUS,245,1521
2013,93,DL,JFK,AUS,249,1521
2013,97,B6,JFK,AUS,244,1521
2013,64,EV,EWR,AVL,100,583
2013,62,EV,EWR,BDL,24,116
2013,65,EV,EWR,BDL,25,116
2013,78,EV,EWR,BDL,26,116
2013,89,EV,EWR,BDL,26,116
2013,6,EV,EWR,BDL,24,116
2013,76,EV,LGA,BHM,129,866
2013,55,MQ,LGA,BNA,139,764
2013,82,MQ,JFK,BNA,164,765
2013,68,MQ,LGA,BNA,125,764
2013,81,9E,JFK,BNA,122,765
2013,66,MQ,LGA,BNA,107,764
2013,8,EV,EWR,BNA,113,748
2013,9,EV,EWR,BNA,118,748
2013,65,MQ,LGA,BNA,105,764
2013,98,EV,EWR,BNA,125,748
2013,9,WN,LGA,BNA,138,764
2013,9,WN,LGA,BNA,139,764
2013,90,MQ,LGA,BNA,120,764
2013,6,MQ,LGA,BNA,116,764
2013,58,MQ,LGA,BNA,128,764
2013,63,WN,LGA,BNA,139,764
2013,51,MQ,LGA,BNA,127,764
2013,66,MQ,LGA,BNA,132,764
2013,52,EV,EWR,BNA,125,748
2013,84,MQ,LGA,BNA,115,764
2013,76,MQ,LGA,BNA,116,764
2013,50,EV,EWR,BNA,126,748
2013,8,MQ,LGA,BNA,125,764
2013,58,WN,LGA,BNA,124,764
2013,88,EV,EWR,BNA,126,748
2013,7,EV,EWR,BNA,121,748
2013,53,WN,LGA,BNA,118,764
2013,8,EV,EWR,BNA,118,748
2013,84,9E,JFK,BNA,107,765
2013,8,MQ,JFK,BNA,115,765
2013,6,MQ,LGA,BNA,109,764
2013,57,MQ,LGA,BNA,120,764
2013,61,EV,EWR,BNA,131,748
2013,92,WN,LGA,BNA,140,764
2013,85,MQ,LGA,BNA,123,764
2013,8,EV,EWR,BNA,129,748
2013,56,EV,EWR,BNA,127,748
2013,95,MQ,LGA,BNA,157,764
2013,84,UA,EWR,BOS,35,200
2013,7,AA,JFK,BOS,37,187
2013,5,AA,JFK,BOS,36,187
2013,5,DL,JFK,BOS,36,187
2013,7,UA,EWR,BOS,38,200
2013,8,AA,JFK,BOS,42,187
2013,58,9E,JFK,BOS,41,187
2013,9,B6,JFK,BOS,43,187
2013,9,B6,JFK,BOS,41,187
2013,82,9E,JFK,BOS,39,187
2013,5,UA,EWR,BOS,41,200
2013,59,B6,JFK,BOS,38,187
2013,9,B6,EWR,BOS,42,200
2013,6,UA,EWR,BOS,37,200
2013,8,B6,EWR,BOS,48,200
2013,6,B6,JFK,BOS,45,187
2013,8,UA,EWR,BOS,41,200
2013,9,9E,JFK,BOS,35,187
2013,9,AA,JFK,BOS,33,187
2013,6,UA,EWR,BOS,36,200
2013,9,UA,EWR,BOS,41,200
2013,69,UA,EWR,BOS,41,200
2013,8,B6,EWR,BOS,42,200
2013,7,B6,JFK,BOS,40,187
2013,7,UA,EWR,BOS,39,200
2013,59,UA,EWR,BOS,41,200
2013,6,UA,EWR,BOS,40,200
2013,7,B6,EWR,BOS,43,200
2013,97,AA,JFK,BOS,46,187
2013,95,AA,JFK,BOS,36,187
2013,7,9E,JFK,BOS,33,187
2013,5,B6,JFK,BOS,33,187
2013,99,UA,EWR,BOS,45,200
2013,63,B6,JFK,BOS,42,187
2013,7,UA,EWR,BOS,40,200
2013,76,US,LGA,BOS,43,184
2013,70,9E,JFK,BOS,45,187
2013,74,B6,EWR,BOS,40,200
2013,6,UA,EWR,BOS,37,200
2013,8,US,LGA,BOS,42,184
2013,7,B6,JFK,BOS,38,187
2013,8,UA,EWR,BOS,32,200
2013,9,UA,EWR,BOS,34,200
2013,9,US,LGA,BOS,33,184
2013,87,UA,EWR,BOS,34,200
2013,57,B6,EWR,BOS,35,200
2013,9,B6,JFK,BOS,33,187
2013,53,UA,EWR,BOS,32,200
2013,76,B6,EWR,BOS,43,200
2013,6,UA,EWR,BOS,39,200
2013,5,UA,EWR,BOS,38,200
2013,9,UA,EWR,BOS,34,200
2013,56,UA,EWR,BOS,41,200
2013,8,UA,EWR,BOS,39,200
2013,6,UA,EWR,BOS,40,200
2013,9,UA,EWR,BOS,42,200
2013,9,9E,JFK,BOS,36,187
2013,5,DL,JFK,BOS,35,187
2013,7,B6,EWR,BOS,40,200
2013,71,UA,EWR,BOS,38,200
2013,9,AA,JFK,BOS,35,187
2013,57,B6,EWR,BOS,37,200
2013,8,B6,JFK,BOS,31,187
2013,9,UA,EWR,BOS,42,200
2013,63,B6,EWR,BOS,66,200
2013,9,B6,EWR,BOS,40,200
2013,8,UA,EWR,BOS,35,200
2013,57,B6,JFK,BOS,40,187
2013,6,US,LGA,BOS,40,184
2013,6,B6,JFK,BOS,37,187
2013,62,B6,JFK,BOS,37,187
2013,57,UA,EWR,BOS,39,200
2013,6,AA,JFK,BOS,36,187
2013,8,B6,EWR,BOS,48,200
2013,68,US,LGA,BOS,39,184
2013,5,9E,JFK,BOS,44,187
2013,51,US,LGA,BOS,46,184
2013,71,B6,EWR,BOS,40,200
2013,66,UA,EWR,BOS,44,200
2013,66,DL,JFK,BOS,42,187
