age,weight,income,year_of_experience,married
44,76,173350,11,1.0
49,77,97150,4,1.0
61,69,194300,14,1.0
67,65,251200,20,1.0
47,66,231750,17,1.0
40,66,137350,7,0.0
24,78,271400,21,0.0
47,69,147150,9,0.0
40,73,166000,10,1.0
52,60,164950,11,1.0
45,63,139700,8,0.0
49,69,164450,11,0.0
63,76,90850,4,1.0
54,73,171050,10,1.0
56,80,104200,4,0.0
51,69,128600,7,1.0
67,68,183500,12,0.0
37,62,152000,9,1.0
48,66,108000,5,1.0
32,68,185350,12,0.0
56,69,90750,3,1.0
54,64,137950,8,0.0
51,75,123550,7,0.0
19,66,173800,12,0.0
53,68,110500,5,1.0
25,70,147050,8,0.0
65,77,203150,14,1.0
56,62,133600,6,1.0
56,71,94600,4,1.0
28,75,77550,2,0.0
51,74,157050,10,0.0
48,67,156050,10,0.0
43,67,90600,3,1.0
60,74,106600,4,1.0
41,67,197700,14,1.0
36,65,177900,12,0.0
19,72,99800,5,0.0
35,68,87050,3,0.0
20,73,105350,5,0.0
33,65,98750,4,0.0
21,69,207800,14,0.0
37,68,147650,7,0.0
55,77,161900,9,1.0
38,71,128850,7,1.0
27,62,133350,7,0.0
59,73,145050,9,1.0
43,72,98400,4,0.0
44,71,231450,17,1.0
34,69,165850,11,0.0
55,67,112650,5,0.0
20,68,156100,10,0.0
55,75,130900,8,1.0
45,69,185700,13,0.0
52,67,182900,13,0.0
39,64,259850,19,0.0
32,68,101950,4,1.0
48,68,190750,13,1.0
59,67,203400,15,1.0
56,65,207100,15,0.0
20,72,121250,6,0.0
20,78,200400,14,0.0
22,73,165600,11,0.0
56,68,114100,6,1.0
50,67,189650,12,1.0
19,69,134900,7,0.0
36,68,120300,6,1.0
65,76,214450,15,1.0
21,74,148000,9,0.0
46,73,153000,9,0.0
37,71,216000,16,1.0
21,70,122100,7,0.0
51,72,144500,9,1.0
44,73,123300,6,0.0
33,66,113800,6,1.0
22,71,163150,10,0.0
43,67,145850,9,1.0
30,68,161000,10,0.0
53,75,143850,8,0.0
33,72,140050,8,1.0
34,75,221300,16,1.0
60,79,179850,12,1.0
49,69,119550,6,1.0
53,72,150650,10,1.0
55,76,157050,10,0.0
53,67,181050,12,0.0
26,74,117600,6,0.0
62,72,268950,20,1.0
66,74,112500,6,0.0
66,80,124050,7,1.0
27,79,131650,8,0.0
61,65,159650,10,0.0
51,65,115300,6,1.0
20,73,203850,14,0.0
19,67,154250,9,0.0
21,69,163600,11,0.0
45,68,97150,4,1.0
55,71,178550,10,1.0
50,67,182000,13,1.0
52,74,134150,8,1.0
24,72,161850,11,0.0
48,74,167250,11,1.0
18,81,196700,14,0.0
51,69,155250,10,0.0
46,77,167850,11,0.0
35,62,94700,3,1.0
20,67,96950,4,0.0
25,76,172750,12,0.0
51,66,105550,5,1.0
35,65,107300,5,0.0
33,75,138300,8,0.0
48,68,130300,7,0.0
65,73,131200,7,0.0
43,63,214450,16,1.0
62,68,158350,9,0.0
22,71,201600,13,0.0
59,64,109600,6,1.0
32,72,142300,9,0.0
40,65,173800,12,0.0
54,66,97500,4,0.0
54,69,140100,7,1.0
59,62,127150,6,1.0
67,67,313950,26,1.0
26,65,218600,16,0.0
57,73,161150,10,1.0
64,67,151650,9,1.0
25,70,128050,7,0.0
63,74,150250,9,0.0
36,71,182200,11,0.0
57,68,146600,9,1.0
43,65,158200,10,1.0
31,72,146450,8,0.0
36,71,216200,16,0.0
67,72,219800,15,1.0
35,63,218550,15,1.0
52,71,120600,6,1.0
38,64,203500,15,0.0
27,66,177900,12,0.0
29,75,244300,18,0.0
66,65,294100,24,1.0
64,76,147300,8,1.0
37,70,144400,9,1.0
50,62,120600,6,1.0
60,77,110100,6,1.0
61,73,165050,10,1.0
33,71,136450,7,1.0
60,68,143250,9,0.0
35,73,145950,9,0.0
40,64,157950,10,0.0
41,77,129750,7,1.0
37,69,249500,20,0.0
38,68,284750,22,1.0
28,72,213050,15,0.0
46,62,108050,6,1.0
20,77,90900,3,0.0
47,72,151000,8,1.0
45,75,186200,13,1.0
57,68,217850,15,0.0
39,66,184500,11,1.0
67,69,121350,6,1.0
38,73,182400,13,0.0
61,62,104800,5,0.0
57,81,117400,6,1.0
50,59,173650,12,1.0
27,67,148300,8,0.0
48,64,103300,4,0.0
52,73,239100,17,1.0
62,74,154500,9,1.0
56,63,137400,7,1.0
28,69,143050,8,0.0
23,69,125500,7,0.0
20,64,136100,8,0.0
56,75,158000,10,1.0
30,64,184700,13,0.0
21,81,123450,7,0.0
24,63,145800,8,0.0
61,68,150300,9,1.0
49,74,111600,5,1.0
59,62,109800,5,1.0
26,67,145450,8,0.0
23,72,142300,8,0.0
28,68,92950,3,0.0
61,72,189350,12,0.0
42,72,209250,15,1.0
32,65,84400,2,0.0
62,65,163650,11,1.0
23,74,109750,5,0.0
59,75,164800,10,1.0
48,68,133350,6,1.0
65,71,193950,13,1.0
59,74,110350,4,1.0
36,72,240800,17,0.0
33,71,206200,14,0.0
54,70,114350,6,1.0
40,72,99450,4,0.0
52,63,160000,10,0.0
67,71,218300,14,1.0
33,63,134450,7,1.0
39,83,84050,3,0.0
54,68,157850,9,0.0
43,66,130700,7,0.0
25,71,157200,9,0.0
27,77,316550,26,0.0
48,67,141000,9,1.0
39,67,133050,8,0.0
18,69,172100,12,0.0
41,76,139800,9,0.0
47,65,161250,10,1.0
45,67,119800,6,0.0
24,66,127600,8,0.0
48,71,171750,11,1.0
61,75,163900,11,1.0
34,71,231250,16,0.0
34,64,151900,9,1.0
52,73,187100,13,0.0
38,67,274000,22,0.0
56,67,144400,8,1.0
44,69,175600,12,1.0
18,68,255400,20,0.0
21,68,114800,5,0.0
41,64,188300,13,0.0
40,78,134700,8,1.0
51,72,153200,9,1.0
35,68,131050,7,1.0
22,62,172500,11,0.0
18,73,234550,17,0.0
51,69,95400,3,1.0
63,68,228750,18,1.0
48,60,90650,4,0.0
29,81,195950,13,0.0
24,79,136600,8,0.0
40,76,143050,8,1.0
61,79,165500,11,0.0
58,71,94050,4,1.0
60,65,180050,12,1.0
26,74,51450,0,0.0
38,73,117300,5,1.0
35,68,77350,2,1.0
37,72,193600,14,1.0
53,68,175850,12,1.0
42,66,151300,9,1.0
38,72,217800,15,0.0
23,68,83650,3,0.0
44,73,144200,8,0.0
67,67,137700,7,1.0
60,63,195400,13,1.0
28,71,194500,13,0.0
62,69,110100,5,1.0
50,66,126150,7,1.0
22,66,88850,2,0.0
34,67,154150,10,0.0
23,61,123800,6,0.0
67,67,156100,9,1.0
19,66,167750,11,0.0
30,65,139550,8,0.0
40,74,189100,13,1.0
23,69,231050,17,0.0
55,72,117050,6,1.0
53,79,145250,8,0.0
60,66,150500,10,0.0
30,73,153850,10,1.0
49,69,153850,10,1.0
58,77,108300,5,0.0
67,70,362000,29,1.0
45,70,142600,9,0.0
65,70,138600,8,1.0
25,67,102900,4,0.0
35,70,155000,10,0.0
42,67,132700,7,1.0
26,66,145450,9,0.0
35,75,99100,4,0.0
52,68,85650,3,1.0
19,67,150650,9,0.0
29,76,131650,7,0.0
52,74,102800,5,0.0
34,68,192150,13,1.0
35,74,189550,13,0.0
63,76,141050,8,1.0
21,63,147000,8,0.0
61,67,195850,14,0.0
33,74,186050,12,0.0
50,74,318000,26,1.0
58,79,93450,3,1.0
56,73,144000,8,1.0
61,78,165750,9,1.0
57,76,160050,10,1.0
46,64,265700,20,1.0
24,64,148850,9,0.0
61,75,71850,2,1.0
20,73,224700,17,0.0
33,69,149350,10,1.0
63,63,185800,12,1.0
31,76,166000,11,0.0
25,67,109350,5,0.0
48,70,205150,14,1.0
31,61,233100,18,0.0
36,67,159550,9,0.0
49,78,241100,18,0.0
59,63,85100,3,1.0
27,69,139100,8,0.0
40,70,156050,10,1.0
19,74,80400,2,0.0
23,74,158700,9,0.0
36,70,167700,11,0.0
49,65,266050,20,1.0
28,71,192850,14,0.0
46,69,108950,6,1.0
48,78,182050,12,1.0
58,80,144400,8,0.0
20,73,144550,7,0.0
21,73,252650,19,0.0
56,69,182400,13,1.0
56,69,116500,6,1.0
22,74,77650,2,0.0
23,73,116250,6,0.0
31,67,170250,10,0.0
64,62,86950,3,0.0
48,67,168950,11,1.0
55,63,228050,16,1.0
62,68,197750,14,1.0
29,72,201950,15,1.0
43,68,120800,6,1.0
30,71,97700,4,0.0
61,73,190500,12,1.0
21,70,173150,12,0.0
36,73,231550,17,1.0
52,70,146550,8,1.0
30,76,187250,13,0.0
21,77,162800,9,0.0
22,73,176850,12,0.0
35,69,126050,5,1.0
32,72,130900,7,0.0
35,76,110550,5,1.0
66,67,162000,10,1.0
28,66,161250,10,0.0
37,69,180900,12,0.0
29,74,201650,14,0.0
31,68,107750,5,0.0
18,70,163050,9,0.0
66,73,121300,7,1.0
54,53,171350,11,1.0
38,65,236600,17,0.0
33,66,183250,13,0.0
59,67,127300,7,0.0
58,80,230700,17,0.0
19,66,194250,13,0.0
41,75,130500,6,1.0
47,69,116800,7,1.0
65,70,144950,8,0.0
33,71,121750,6,0.0
18,59,164950,10,0.0
40,63,254700,20,0.0
21,71,136450,8,0.0
26,71,99150,4,0.0
39,63,100700,4,0.0
33,77,114800,5,0.0
32,71,128100,6,0.0
27,67,105500,5,0.0
57,71,125950,7,1.0
49,73,143500,9,1.0
60,68,130250,7,1.0
42,79,177800,12,0.0
67,76,126250,7,1.0
43,79,131900,7,0.0
20,77,118800,6,0.0
64,73,178150,12,1.0
60,71,92000,3,1.0
29,72,183200,12,0.0
35,71,131050,7,1.0
59,72,133750,8,1.0
32,70,178000,12,1.0
23,74,158150,10,0.0
42,70,157300,9,0.0
25,69,102600,5,0.0
64,66,126100,6,1.0
33,69,121600,7,0.0
33,66,213350,15,0.0
43,71,95450,4,1.0
56,67,225150,17,1.0
39,75,116600,5,0.0
46,67,94500,4,1.0
62,72,154150,10,1.0
49,65,156350,10,0.0
19,66,105150,5,0.0
66,69,219350,15,1.0
49,59,117150,6,1.0
29,73,155200,10,0.0
36,66,210650,15,1.0
42,67,118600,5,1.0
42,71,128000,7,0.0
64,70,131500,8,1.0
37,67,153200,9,0.0
35,76,111950,6,1.0
32,79,166100,11,0.0
60,79,186600,11,0.0
62,58,202800,14,1.0
39,65,225550,17,0.0
44,72,147900,9,1.0
26,68,78550,2,0.0
32,74,165350,11,0.0
53,74,176950,12,1.0
55,83,234200,17,0.0
43,64,124000,7,0.0
62,72,114050,6,0.0
55,65,153300,9,0.0
63,73,246250,19,1.0
37,75,128800,7,1.0
54,66,212150,14,1.0
34,66,113500,6,0.0
65,76,161950,11,0.0
31,74,160500,11,0.0
35,63,143400,8,0.0
21,78,163850,11,0.0
43,64,131450,7,0.0
39,69,96200,4,1.0
38,68,140350,7,1.0
48,63,112650,6,1.0
59,68,120750,6,1.0
34,73,147250,9,0.0
21,71,253100,19,0.0
27,68,124400,7,0.0
34,78,109150,6,0.0
67,72,159550,10,1.0
34,70,112350,5,0.0
21,68,111200,6,0.0
54,72,139250,8,1.0
61,77,148850,7,1.0
33,72,177150,12,0.0
24,79,106650,4,0.0
41,66,97600,3,1.0
39,74,246350,19,0.0
41,74,110550,5,0.0
67,71,107950,5,1.0
39,72,277850,22,1.0
48,65,158550,9,1.0
33,81,136350,8,1.0
26,71,126150,7,0.0
32,71,208250,15,0.0
64,71,145100,8,1.0
36,77,122400,7,0.0
67,70,119250,6,1.0
63,72,120250,7,1.0
47,66,191900,14,0.0
59,70,182850,13,1.0
23,60,163850,10,0.0
40,69,96550,4,1.0
32,77,111750,6,0.0
50,74,187350,13,0.0
31,61,251450,20,0.0
65,68,135350,8,0.0
65,72,146550,8,1.0
29,75,121300,5,0.0
53,65,161450,10,1.0
46,75,258000,20,1.0
38,71,233400,16,0.0
45,77,172200,11,1.0
19,65,168750,12,0.0
39,80,243550,19,0.0
47,70,162350,10,0.0
43,73,162050,10,0.0
36,79,153500,8,0.0
43,67,100700,4,1.0
28,68,194150,14,0.0
39,74,168550,9,0.0
27,70,118250,4,0.0
55,59,111550,5,1.0
52,65,177200,11,0.0
49,70,266800,20,1.0
24,65,120300,6,0.0
49,69,131100,7,1.0
50,78,122950,7,1.0
50,77,140350,7,1.0
25,72,129050,7,0.0
42,66,86900,3,1.0
46,77,193950,13,0.0
54,75,143250,9,1.0
65,70,89200,3,1.0
57,65,187750,13,0.0
44,68,183300,13,1.0
49,75,217650,16,1.0
53,70,153200,8,1.0
32,68,155950,10,0.0
63,74,131450,7,1.0
22,75,134900,8,0.0
33,76,156000,9,1.0
51,64,145150,9,1.0
22,70,186550,13,0.0
26,74,160500,10,0.0
40,67,103250,6,0.0
41,78,105700,5,1.0
26,62,116850,6,0.0
35,76,127350,5,0.0
63,69,258450,18,0.0
62,62,176600,12,1.0
58,71,178750,12,1.0
51,73,125300,6,0.0
50,68,156400,10,0.0
38,65,176000,12,1.0
25,70,138100,8,0.0
64,74,130100,7,1.0
54,68,175400,12,1.0
33,70,151250,9,0.0
21,76,109700,6,0.0
31,63,142700,8,0.0
61,76,74000,1,1.0
26,68,113050,4,0.0
33,81,389350,33,1.0
31,68,112500,5,0.0
