accepted,creditscore,amount,age,marital,health_ins,creditgrade
0,394,96120915,38,0,1,A
0,400,14323452,46,1,0,A
0,399,63120669,64,0,0,A
0,379,15155047,49,0,0,A
0,356,79540877,55,1,0,A
0,366,34438306,37,1,1,A
0,364,30998407,85,0,0,A
0,387,55139274,58,0,0,A
0,380,70227519,57,0,0,A
0,369,28644653,83,0,0,A
0,386,50266222,47,0,0,A
0,391,62018497,27,0,0,A
0,361,63840035,59,0,0,A
0,354,92615473,78,0,0,A
0,359,80105181,87,0,1,A
0,371,97533038,43,0,1,A
0,362,71514047,60,0,1,A
0,362,14007668,48,0,1,A
0,353,96156653,45,0,0,A
0,362,70981831,20,0,0,A
0,379,67921203,54,0,1,A
0,393,28319876,57,0,1,A
0,369,98358647,54,1,0,A
0,393,25567857,75,0,0,A
0,370,88139290,43,0,0,A
0,373,4648915,29,0,0,A
0,386,7217118,79,0,1,A
0,373,90148867,70,0,1,A
0,362,60638873,37,0,0,A
0,364,36977235,21,1,1,A
0,363,33905410,71,0,0,A
0,397,71580632,66,0,1,A
0,383,80956386,38,0,1,A
0,394,99943519,43,0,0,A
0,354,75222788,60,0,1,A
0,380,50555245,19,0,0,A
0,379,36320270,26,1,0,A
0,389,31754451,69,0,0,A
0,395,48218189,82,0,1,A
0,397,63954144,22,0,1,A
0,368,44883347,71,0,1,A
0,390,82174792,75,0,0,A
0,397,63017349,64,1,1,A
0,392,29582063,70,0,0,A
0,400,21930970,34,0,1,A
0,370,62134352,76,0,0,A
0,360,44229145,56,0,0,A
0,389,32868409,55,0,0,A
0,372,72574863,53,0,1,A
0,359,82992352,39,0,1,A
0,358,16117878,19,1,1,A
0,373,79306958,46,1,0,A
0,361,27563458,39,1,1,A
0,371,88441766,67,0,1,A
0,394,27056036,31,0,0,A
0,369,83971087,34,0,0,A
0,367,17373430,49,0,0,A
0,366,7778219,47,0,0,A
0,380,24246415,20,0,1,A
0,383,33421993,56,1,0,A
0,384,55836666,79,0,0,A
0,374,72622879,23,1,0,A
0,379,20165444,31,0,1,A
0,354,57440097,35,0,0,A
0,394,23472781,72,1,1,A
0,374,22498697,50,0,1,A
0,359,39591672,22,0,0,A
0,363,54087416,86,0,0,A
0,386,98760365,60,1,1,A
0,360,40212893,87,0,1,A
0,396,60286981,30,0,0,A
0,385,21571290,47,1,1,A
0,375,5622091,32,0,0,A
0,394,99117107,82,0,1,A
0,383,96200494,65,0,0,A
0,375,63734497,25,0,1,A
0,394,47816756,43,0,0,A
0,375,86383134,45,0,0,A
0,373,89259173,26,0,0,A
0,385,44508904,83,0,1,A
0,383,81038759,38,1,1,A
0,363,93890928,60,1,0,A
0,399,92913154,68,0,1,A
0,371,62375594,57,0,0,A
0,398,43937429,46,0,0,A
0,369,11212337,50,0,0,A
0,377,31997676,66,1,1,A
0,363,38918893,75,0,0,A
0,385,30540706,67,1,0,A
0,393,19954917,20,0,0,A
0,357,70369439,85,0,0,A
0,367,60170720,30,0,1,A
0,373,63775629,49,1,1,A
0,400,96273004,58,0,1,A
0,361,34044931,37,0,0,A
0,372,99997370,41,0,0,A
0,358,23110131,53,1,1,A
0,359,73885796,46,0,1,A
0,366,42685998,88,0,0,A
0,393,32468381,51,1,1,A
0,368,49228663,18,1,1,A
0,377,51767158,49,0,1,A
0,387,20174666,89,0,0,A
0,354,26730260,51,0,0,A
0,371,34765066,37,1,1,A
0,364,90236699,18,1,0,A
0,354,63514987,28,0,1,A
0,398,18216380,49,0,0,A
0,367,10969214,60,0,0,A
0,360,31740503,47,1,1,A
0,360,25580186,83,0,0,A
0,389,89045971,41,1,0,A
0,362,35780411,48,0,0,A
0,355,51810699,30,0,0,A
0,365,36884581,65,0,1,A
0,396,58685329,64,0,1,A
0,355,79630987,81,0,1,A
0,400,48643861,76,1,0,A
0,388,22140508,75,0,0,A
0,386,86491502,66,0,0,A
0,381,37524570,60,0,1,A
0,393,42674165,60,0,0,A
0,395,93156679,43,1,0,A
0,370,44501627,51,0,1,A
0,363,76149077,61,0,0,A
0,379,73218799,52,0,1,A
0,357,88674802,20,1,1,A
0,397,27382223,50,0,1,A
0,360,62401751,79,0,0,A
0,387,54082140,61,0,1,A
0,360,65944614,23,0,1,A
0,380,77447852,34,1,0,A
0,400,48239718,67,0,1,A
0,373,29128357,54,1,0,A
0,375,75443630,26,1,1,A
0,371,72049003,87,0,0,A
0,376,89351359,90,0,1,A
0,388,64697210,53,0,0,A
0,380,58941239,50,0,0,A
0,390,65442358,75,0,1,A
0,373,93870028,50,0,1,A
0,393,7644804,79,0,0,A
0,374,80233833,29,1,1,A
0,360,44660418,63,1,0,A
0,375,12514561,28,0,1,A
0,398,6102358,65,0,0,A
0,381,29002995,27,1,1,A
0,381,20264442,67,1,1,A
0,397,16369447,24,0,1,A
0,379,71595290,71,1,1,A
0,360,97351209,82,0,0,A
0,361,18793495,75,0,0,A
0,396,35868273,88,0,1,A
0,376,1099546,19,0,1,A
0,356,96464572,83,0,0,A
0,362,44383640,60,0,0,A
0,383,96542800,84,0,0,A
0,377,21084819,89,0,1,A
0,391,73050662,52,0,0,A
0,379,78503498,35,0,1,A
0,353,18572202,27,0,1,A
0,373,6707025,53,0,1,A
0,381,25984837,26,1,0,A
0,359,17345674,41,0,0,A
0,375,58499290,88,0,1,A
0,352,54332437,83,0,0,B
0,324,40606852,50,0,0,B
0,327,6196709,24,1,0,B
0,337,4591652,39,0,1,B
0,333,6851627,24,1,0,B
0,349,75107909,55,0,0,B
0,347,34078679,37,1,0,B
0,318,51428207,33,0,1,B
0,352,51950958,48,1,1,B
0,321,19498519,42,0,1,B
0,346,37938329,88,0,1,B
0,322,48059398,54,0,1,B
0,331,32460015,82,0,0,B
0,328,68963148,82,0,0,B
0,328,99675012,52,0,0,B
0,347,84817895,79,0,0,B
0,323,61089722,47,0,0,B
0,341,91953788,49,1,1,B
0,318,20072522,69,0,1,B
0,347,78541679,81,0,0,B
0,338,71482122,31,0,1,B
0,353,33317369,33,0,0,B
0,353,11215474,82,0,1,B
0,317,64567225,30,0,1,B
0,353,1303182,41,0,1,B
0,353,86797419,59,0,0,B
0,332,6169854,39,1,1,B
0,343,23238047,83,0,0,B
0,344,14791870,61,1,1,B
0,329,47258860,56,0,0,B
0,343,47508102,25,0,1,B
0,320,53918551,56,0,1,B
0,335,46900750,56,0,0,B
0,318,77413269,38,1,0,B
0,351,81514886,38,0,1,B
0,346,44484385,32,0,1,B
0,321,21098465,55,1,0,B
0,320,93501225,63,1,1,B
0,324,78353988,45,0,1,B
0,327,17035685,19,1,1,B
0,323,37053164,33,0,0,B
0,325,78175144,71,1,1,B
0,344,6776038,86,0,0,B
0,335,57838750,50,1,1,B
0,343,77242136,25,0,0,B
0,335,82102638,18,0,0,B
0,331,53956652,49,1,0,B
0,350,17055792,29,0,0,B
0,351,91918499,26,0,1,B
0,322,26328518,69,1,1,B
0,328,50090780,52,0,1,B
0,333,19091419,38,0,0,B
0,328,86331130,57,0,1,B
0,337,38133772,65,0,1,B
0,319,32563531,86,0,1,B
0,319,84294573,35,0,0,B
0,322,90096147,40,0,1,B
0,340,5912356,62,1,0,B
0,339,41387039,35,0,1,B
0,352,99828698,23,1,0,B
0,342,78539789,64,0,1,B
0,344,29461642,18,0,0,B
0,334,77241902,57,0,0,B
0,338,82461863,77,0,0,B
0,343,99318306,58,0,0,B
0,331,50443981,20,1,1,B
0,344,16235405,86,0,0,B
0,327,67848335,24,0,0,B
0,319,61936506,83,0,0,B
0,345,69554981,88,0,1,B
0,334,98326490,25,0,1,B
0,325,36254982,31,0,0,B
0,331,61261718,84,0,1,B
0,341,63422014,46,0,1,B
0,320,35574892,66,0,0,B
0,336,26388833,56,0,0,B
0,338,89590074,64,0,0,B
0,323,36052640,44,0,1,B
0,335,35444352,79,0,1,B
0,324,9355630,88,0,0,B
0,337,68228065,31,0,1,B
0,325,60204802,57,1,1,B
0,349,59614096,38,0,0,B
0,331,95600052,61,0,0,B
0,344,17310383,40,0,0,B
0,320,12502790,22,1,1,B
0,340,65736871,44,0,1,B
0,327,28236856,72,0,0,B
0,334,98670290,38,0,1,B
0,334,47337999,42,0,0,B
0,319,76491529,24,1,0,B
0,352,76573556,90,0,1,B
0,344,65959618,66,0,0,B
0,323,82447152,31,1,1,B
0,325,13536090,70,1,0,B
0,325,68514440,49,0,1,B
0,342,65623169,89,0,1,B
0,332,10080781,82,0,1,B
0,343,89121205,47,0,1,B
0,348,26178475,89,0,0,B
0,332,61764357,33,0,0,B
0,349,4519004,45,0,1,B
0,352,81740902,64,0,1,B
0,323,11057276,45,1,1,B
0,338,82854373,19,0,0,B
0,325,48688066,40,0,1,B
0,319,51754289,60,1,1,B
0,331,33310101,74,0,1,B
0,349,51634845,31,1,1,B
0,324,40914677,62,1,0,B
0,336,36673271,56,1,1,B
0,332,72449095,35,0,1,B
0,350,21225850,70,0,0,B
0,340,34243839,33,0,0,B
0,326,47975751,39,0,0,B
0,348,76064704,76,1,1,B
0,331,48098063,34,0,0,B
0,327,88535463,48,0,0,B
0,323,36979149,69,0,0,B
0,330,69153887,68,0,0,B
0,319,33145128,80,0,0,B
0,329,73624361,23,1,1,B
0,326,91260341,80,0,1,B
0,328,10529734,61,1,1,B
0,322,72203165,56,1,1,B
0,325,35775434,40,1,0,B
0,329,5660606,50,0,0,B
0,352,27033807,42,1,0,B
0,330,45259797,22,0,1,B
0,331,13950412,84,0,1,B
0,342,95851472,72,0,0,B
0,352,68563100,73,1,0,B
0,317,9588757,33,1,1,B
0,351,25111273,34,1,0,B
0,320,68867785,76,1,1,B
0,348,12659147,85,0,0,B
0,324,96336492,69,1,1,B
0,342,93054705,80,0,1,B
0,317,59588722,86,0,1,B
0,321,7734558,88,0,1,B
0,326,18605232,72,1,1,B
0,326,82042716,31,0,0,B
0,340,72314668,89,0,1,B
0,340,24060583,52,0,1,B
0,346,64114259,68,1,0,B
0,324,78735953,67,0,1,B
0,332,55262238,27,0,1,B
0,348,40746896,28,1,0,B
0,351,19347765,88,0,1,B
0,344,50503040,38,0,1,B
0,345,15598737,28,0,0,B
0,348,96756758,84,0,1,B
0,352,79764407,39,1,1,B
0,341,1763518,18,0,1,B
0,320,49729071,64,1,0,B
0,345,40081791,18,1,0,B
0,350,59505458,66,1,1,B
0,334,10672405,42,1,1,B
0,335,76221716,19,0,0,B
0,347,46487873,31,0,0,B
0,330,53495995,48,1,0,B
0,321,2570428,50,0,1,B
0,328,14754205,39,0,1,B
0,324,8199751,64,0,0,B
0,322,97696864,35,0,0,B
0,346,46214502,25,1,1,B
0,319,51558239,77,0,1,B
0,327,60224296,50,0,1,B
0,329,75194086,67,0,0,B
0,346,1127706,67,0,0,B
0,342,88585276,29,1,0,B
0,334,34151500,33,0,0,B
0,352,19637541,66,1,1,B
0,329,53973801,88,0,0,B
0,344,19186648,81,0,1,B
0,353,54611709,79,0,0,B
0,326,71845472,68,0,1,B
0,326,36069222,60,0,0,B
0,328,64103936,73,1,0,B
0,343,4660267,38,1,0,B
0,335,90220307,78,1,0,B
0,324,32106872,42,1,0,B
0,352,1992247,49,0,1,B
0,328,44072951,60,0,1,B
0,319,9579249,23,0,0,B
0,327,62014678,86,0,0,B
0,344,12219171,75,0,0,B
0,329,88289868,40,0,1,B
0,346,6065310,39,0,1,B
0,329,68096491,56,0,0,B
0,350,85289949,69,0,0,B
0,327,68875523,75,0,0,B
0,321,25454834,26,0,1,B
0,324,34971590,46,1,1,B
0,319,39930686,64,0,0,B
0,339,77376307,76,1,0,B
0,328,27442477,35,0,1,B
0,321,14875189,29,1,0,B
0,335,85707314,36,1,0,B
0,331,46525973,56,0,0,B
0,353,12935900,86,0,0,B
0,338,18696611,36,0,0,B
0,340,90195232,31,0,1,B
0,353,15407253,42,0,0,B
0,343,47418540,22,0,0,B
0,341,64644503,41,0,1,B
0,320,50366019,52,0,0,B
0,334,70350559,32,0,0,B
0,326,43810191,75,0,0,B
0,321,93668566,68,0,0,B
0,350,76390754,37,1,0,B
0,325,18275931,60,1,1,B
0,344,84697672,40,1,0,B
0,338,35164917,80,0,1,B
0,343,72709077,87,0,0,B
0,340,89146394,30,1,1,B
0,348,23832389,19,1,0,B
0,342,96427131,26,1,1,B
0,353,82670660,78,1,1,B
0,351,24086455,36,1,1,B
0,332,32719287,87,0,1,B
0,330,30726014,88,0,0,B
0,318,95704431,73,0,0,B
0,322,84877187,86,0,0,B
0,352,59165137,71,0,1,B
0,345,78547285,70,1,1,B
0,350,2291348,42,0,0,B
0,322,21230232,88,0,0,B
0,327,8820531,31,1,1,B
0,345,67540505,35,1,0,B
0,318,29334967,74,0,0,B
0,343,92172111,31,0,0,B
0,345,38930722,90,0,1,B
0,352,17330416,65,0,0,B
0,332,3891391,76,0,0,B
0,351,14211274,82,0,1,B
0,336,4571485,23,0,1,B
0,351,8045401,43,0,0,B
0,353,57088879,30,1,1,B
0,341,47448973,18,1,0,B
0,332,67172948,58,0,0,B
0,328,38240320,48,1,1,B
0,332,24138462,86,0,0,B
0,327,5089149,23,0,0,B
0,330,37580752,39,0,1,B
0,326,57410523,69,0,0,B
0,331,84735097,48,0,1,B
0,335,80311549,78,0,1,B
0,324,57715691,70,0,1,B
0,353,87045042,55,0,1,B
0,352,97853039,80,0,0,B
0,326,4463537,33,1,0,B
0,328,41389084,38,0,1,B
0,317,54702610,69,0,0,B
0,317,82426017,67,0,0,B
0,322,17272530,79,0,0,B
0,334,2682023,72,0,1,B
0,329,81364854,90,0,1,B
0,323,50720048,58,0,1,B
0,320,1751956,56,0,1,B
0,344,72737683,20,0,1,B
0,324,50175621,63,1,1,B
0,317,74897287,56,0,1,B
0,324,70217615,48,0,0,B
0,322,54949163,22,1,0,B
0,319,4635829,43,1,1,B
0,327,96146119,82,0,1,B
0,348,53911840,36,0,1,B
0,341,81115563,32,0,1,B
0,346,68808001,41,1,0,B
0,349,65787007,76,0,0,B
0,351,24608746,65,0,1,B
0,342,75964211,66,1,1,B
0,320,20864800,44,1,0,B
0,347,6578847,42,0,1,B
0,337,99353322,56,0,1,B
0,344,68432783,28,0,1,B
0,339,6729164,52,0,1,B
0,343,33797253,53,0,1,B
0,351,33232463,72,0,1,B
0,333,81458585,53,0,0,B
0,328,7755990,22,1,1,B
0,339,60675455,88,0,1,B
0,341,81913160,64,1,0,B
0,321,66014455,53,0,1,B
0,335,81003968,48,1,1,B
0,342,11819846,71,0,1,B
0,326,99187015,30,0,0,B
0,340,93004175,22,1,0,B
0,329,88155578,37,0,1,B
0,346,70149018,53,0,1,B
0,343,99598303,80,0,0,B
0,340,15730077,23,1,1,B
0,346,98777433,53,0,0,B
0,329,82966009,76,0,1,B
0,350,15976782,49,0,1,B
0,328,94228426,52,1,1,B
0,340,69951948,85,0,0,B
0,328,32097804,37,1,0,B
0,328,48973368,24,1,1,B
0,335,22496793,28,0,1,B
0,334,17974345,82,0,1,B
0,328,99681800,81,0,0,B
0,318,34780907,68,0,1,B
0,328,22108897,31,1,0,B
0,321,88462513,31,0,0,B
0,348,82221101,69,0,0,B
0,335,41277545,88,0,1,B
0,334,86803100,40,1,0,B
0,321,18956544,81,0,0,B
0,335,72580296,22,0,0,B
0,333,20869368,61,0,1,B
0,317,19774833,38,0,0,B
0,330,66912309,70,0,0,B
0,335,21474161,26,0,0,B
0,353,83371733,79,0,1,B
0,344,99253164,29,0,1,B
0,317,78709991,26,1,1,B
0,318,49774619,70,0,0,B
0,322,71654865,61,1,1,B
0,352,79590169,84,0,1,B
0,353,39214434,41,1,1,B
0,328,91217536,37,0,1,B
0,351,71789795,27,1,0,B
0,327,87201022,33,1,0,B
0,341,55792275,75,0,0,B
0,334,98194336,90,0,0,B
0,337,77064686,36,1,0,B
0,352,1976677,71,0,1,B
0,339,11544686,19,0,1,B
0,330,20346704,27,0,1,B
0,353,33804234,79,0,1,B
0,338,58609251,53,0,0,B
0,332,24201697,73,0,1,B
0,343,27527479,44,1,1,B
0,325,87398704,76,0,0,B
0,317,41232650,76,0,1,B
0,326,36951739,68,0,1,B
0,346,97624096,77,0,1,B
0,343,28080539,39,1,0,B
0,317,84965860,63,0,0,B
0,332,86135516,49,0,1,B
0,338,10740188,19,0,1,B
0,342,63361488,76,0,0,B
0,344,17858035,81,0,1,B
0,338,97450822,70,0,1,B
0,347,31728114,89,0,1,B
0,325,34920650,37,0,0,B
0,330,97459094,68,0,1,B
0,347,87379421,60,0,1,B
0,318,97437279,34,0,1,B
0,338,68662870,43,0,1,B
0,344,62731248,64,1,1,B
0,334,69598691,22,0,0,B
0,353,69096451,69,0,0,B
0,351,60439117,81,0,1,B
0,322,95917850,44,0,0,B
0,324,34704876,45,0,0,B
0,320,96764495,18,1,0,B
0,330,76145281,62,0,0,B
0,332,50343916,40,0,1,B
0,317,97065662,30,0,0,B
0,319,85335574,68,0,1,B
0,330,95476967,36,0,0,B
0,333,89897564,38,0,1,B
0,345,76451495,24,0,0,B
0,347,1809720,80,0,1,B
0,342,79030531,49,1,1,B
0,321,95279440,68,1,1,B
0,319,72232435,39,0,1,B
0,325,93700384,45,0,0,B
0,319,41335313,25,1,1,B
0,326,6273119,40,1,0,B
0,339,94069497,36,0,0,B
0,345,71736375,72,1,0,B
0,321,53707663,18,0,1,B
0,337,7305084,77,0,1,B
0,322,58767644,33,1,0,B
0,346,69632636,19,1,1,B
0,349,62275447,43,0,0,B
0,342,88544090,71,0,0,B
0,330,38943834,76,0,0,B
0,346,77905073,61,0,1,B
0,346,70088459,49,1,1,B
0,337,51822643,35,0,1,B
0,321,34870098,62,0,0,B
0,317,91061777,41,0,0,C
0,281,49617432,77,0,0,C
0,314,53097526,83,0,0,C
0,301,42599105,29,1,0,C
0,296,43686812,78,0,0,C
0,290,5152440,19,1,0,C
0,305,48152981,19,0,0,C
0,292,90930457,33,0,0,C
0,292,62368578,87,0,0,C
0,313,51671965,51,0,0,C
0,313,34929686,80,0,0,C
0,300,86333333,20,0,0,C
0,294,23938526,78,1,0,C
0,284,25669558,67,1,0,C
0,310,92503671,54,1,0,C
0,313,74773409,19,1,0,C
0,309,85123633,77,1,0,C
0,293,20169570,77,0,0,C
0,294,12642880,24,1,0,C
0,281,25938465,43,1,0,C
0,297,69566817,87,0,0,C
0,310,16297525,67,1,0,C
0,297,32594077,35,0,0,C
0,304,31972772,82,0,0,C
0,284,85395739,89,0,0,C
0,283,3380585,21,0,0,C
0,312,52230709,64,1,0,C
0,289,30423458,80,0,0,C
0,298,32388164,57,1,0,C
0,315,34843614,87,0,0,C
0,316,50197181,23,1,0,C
0,293,75114632,48,0,0,C
0,285,33121443,30,0,0,C
0,294,4043126,57,0,0,C
0,285,28189463,42,1,0,C
0,297,8865026,32,0,0,C
0,285,59953283,47,0,0,C
0,316,4670813,90,0,0,C
0,288,70626451,82,0,0,C
0,293,61321942,35,0,0,C
0,317,45655793,44,1,0,C
0,304,17721094,59,0,0,C
0,298,41603379,76,0,0,C
0,293,6469753,54,1,0,C
0,294,44170020,51,0,0,C
0,298,57082181,29,0,0,C
0,296,1982653,29,1,0,C
0,298,78663645,26,0,0,C
0,305,1179560,63,0,0,C
0,315,45491762,36,1,0,C
0,288,51695113,44,1,0,C
0,311,54505248,32,0,0,C
0,307,91658228,57,0,0,C
0,288,30292305,18,1,0,C
0,302,7543640,34,1,0,C
0,292,53646999,72,1,0,C
0,316,38350406,69,1,0,C
0,301,10745450,67,0,0,C
0,313,57188540,48,1,0,C
0,283,45316976,66,0,0,C
0,302,96255125,41,1,0,C
0,311,67321035,20,1,0,C
0,315,24943309,73,0,0,C
0,307,37565851,70,0,0,C
0,284,43074052,20,0,0,C
0,289,14636195,48,0,0,C
0,286,21213999,33,1,0,C
0,308,52664949,22,0,0,C
0,291,46265801,68,0,0,C
0,281,21756873,32,1,0,C
0,293,7997855,40,0,0,C
0,302,59318939,66,1,0,C
0,305,26046073,60,0,0,C
0,316,39231591,45,0,0,C
0,298,30031454,65,0,0,C
0,297,8047344,64,0,0,C
0,299,50052418,44,1,0,C
0,296,51760231,64,0,0,C
0,284,26978974,36,0,0,C
0,315,7584622,67,1,0,C
0,293,69062554,84,0,0,C
0,310,52731197,81,0,0,C
0,314,53321401,85,0,0,C
0,296,38299349,80,0,0,C
0,305,94501396,50,0,0,C
0,304,67148044,90,0,0,C
0,314,97611678,87,0,0,C
0,307,44596886,86,0,0,C
0,312,4376321,26,0,0,C
0,297,40561495,77,0,0,C
0,311,85928227,41,0,0,C
0,285,58908596,55,0,0,C
0,307,2039229,86,0,0,C
0,312,71998057,31,1,0,C
0,306,60273551,58,0,0,C
0,289,59826471,59,0,0,C
0,303,61684235,28,0,0,C
0,285,18754109,69,0,0,C
0,298,60442118,75,1,0,C
0,285,44698968,23,1,0,C
0,295,13671591,27,0,0,C
0,292,3398594,87,0,0,C
0,285,21247190,46,0,0,C
0,290,84627985,33,0,0,C
0,304,79951220,28,0,0,C
0,314,65500918,83,0,0,C
0,311,20636566,22,0,0,C
0,296,91000153,61,1,0,C
0,309,9899555,76,1,0,C
0,297,7891979,21,0,0,C
0,315,40231470,73,0,0,C
0,298,60815653,53,1,0,C
0,286,89879375,22,0,0,C
0,289,54219400,82,0,0,C
0,306,60671993,42,1,0,C
0,300,67288741,53,0,0,C
0,296,44905661,62,1,0,C
0,312,90588327,39,0,0,C
0,311,82489846,82,0,0,C
0,308,62166240,26,1,0,C
0,289,25759765,37,0,0,C
0,298,77747575,59,0,0,C
0,304,81951748,71,0,0,C
0,287,24998370,68,1,0,C
0,294,38590201,62,0,0,C
0,316,19704579,82,0,0,C
0,290,3744259,64,0,0,C
0,293,17972580,78,0,0,C
0,287,58591122,26,1,0,C
0,316,5178568,29,0,0,C
0,306,79050681,35,0,0,C
0,313,53899967,18,0,0,C
0,309,86018148,47,0,0,C
0,282,48452705,55,0,0,C
0,313,16016637,68,0,0,C
0,310,29674418,37,1,0,C
0,292,10323953,87,0,0,C
0,282,90068112,77,0,0,C
0,288,55601236,25,0,0,C
0,290,41600412,90,0,0,C
0,289,53088701,74,1,0,C
0,313,11168106,39,0,0,C
0,286,79749428,60,0,0,C
0,299,92331052,27,1,0,C
0,312,70595561,20,0,0,C
0,308,95650145,73,1,0,C
0,313,43456481,66,0,0,C
0,305,70240005,39,0,0,C
0,295,69068024,73,1,0,C
0,316,81951394,62,1,0,C
0,315,65313294,72,0,0,C
0,308,89433630,30,0,0,C
0,291,38447440,33,0,0,C
0,302,66519398,39,0,0,C
0,307,24403984,81,0,0,C
0,303,21192478,41,1,0,C
0,282,64001109,84,0,0,C
0,314,63381847,46,1,0,C
0,290,56399483,72,0,0,C
0,291,5248421,64,0,0,C
0,311,72780248,18,1,0,C
0,283,2637414,81,0,0,C
0,285,1055884,66,0,0,C
0,291,27376845,73,1,0,C
0,297,56980822,53,1,0,C
0,287,77689837,34,1,0,C
0,312,67372592,61,0,0,C
0,285,10699086,58,0,0,C
0,297,26937485,20,0,0,C
0,303,47243164,63,0,0,C
0,283,51218636,53,0,0,C
0,291,19096793,82,0,0,C
0,317,3285839,27,1,0,C
0,304,28220909,20,0,0,C
0,290,80644030,46,1,0,C
0,317,22009387,40,0,0,C
0,298,27675630,66,0,0,C
0,295,78467812,47,0,0,C
0,315,41313392,81,0,0,C
0,308,86867876,63,0,0,C
0,300,18029775,67,0,0,C
0,315,49448547,64,0,0,C
0,300,5414841,29,1,0,C
0,287,97865282,66,0,0,C
0,290,45304729,37,0,0,C
0,305,33569049,61,1,0,C
0,286,9973631,82,0,0,C
0,315,40032516,63,0,0,C
0,284,41048248,61,0,0,C
0,314,16337295,58,0,0,C
0,291,79858107,23,1,0,C
0,313,70495783,24,0,0,C
0,290,38745057,87,0,0,C
0,305,84158808,63,1,0,C
0,306,26396292,28,0,0,C
0,309,89407241,36,0,0,C
0,311,50766255,72,0,0,C
0,296,2267809,24,0,0,C
0,307,48820761,73,1,0,C
0,310,76690693,21,0,0,C
0,286,42630115,35,0,0,C
0,296,51378360,65,0,0,C
0,312,90746664,30,1,0,C
0,306,82130363,46,0,0,C
0,303,62355311,66,1,0,C
0,289,60401678,66,0,0,C
0,317,14895998,36,1,0,C
0,301,38070185,45,1,0,C
0,306,88742059,89,0,0,C
0,311,2153374,71,0,0,C
0,283,50206391,87,0,0,C
0,301,4579181,36,0,0,C
0,296,77416702,69,1,0,C
0,292,69173887,78,0,0,C
0,295,83476311,64,0,0,C
0,298,60274959,49,0,0,C
0,282,13946357,64,1,0,C
0,312,98433314,82,0,0,C
0,316,82448529,81,0,0,C
0,308,33319823,52,0,0,C
0,300,62133345,70,0,0,C
0,297,85606778,52,0,0,C
0,290,95040010,42,1,0,C
0,284,61418480,22,1,0,C
0,317,26341384,32,1,0,C
0,310,47767174,67,0,0,C
0,297,15925925,35,0,0,C
0,294,57985986,80,0,0,C
0,301,58461201,32,0,0,C
0,305,33681245,40,0,0,C
0,283,5445022,79,0,0,C
0,293,20086244,54,0,0,C
0,290,69913465,19,1,0,C
0,314,7075963,67,0,0,C
0,301,79077736,75,1,0,C
0,287,58663444,47,0,0,C
0,289,35461607,74,1,0,C
0,309,70679089,32,0,0,C
0,288,68724533,19,1,0,C
0,307,32519921,52,0,0,C
0,295,92382006,60,1,0,C
0,285,23522485,39,0,0,C
0,289,45323934,36,0,0,C
0,295,17851342,82,0,0,C
0,301,57983169,86,0,0,C
0,288,78460215,62,0,0,C
0,298,86720582,68,0,0,C
0,284,51883786,18,0,0,C
0,290,47741673,54,0,0,C
0,307,28629561,49,1,0,C
0,283,26042110,60,1,0,C
0,306,53776000,68,1,0,C
0,290,18346351,58,0,0,C
0,303,92128972,81,0,0,C
0,303,55064939,54,1,0,C
0,301,60746016,53,0,0,C
0,302,84363439,27,1,0,C
0,292,58580537,42,0,0,C
0,312,14712958,73,0,0,C
0,298,93194930,85,0,0,C
0,312,62662418,53,0,0,C
0,283,9327058,38,0,0,C
0,312,97146949,20,0,0,C
0,292,21508428,71,1,0,C
0,304,61489887,38,0,0,C
0,281,31333099,48,0,0,C
0,283,39734924,45,1,0,C
0,316,25224080,54,0,0,C
0,300,38724294,66,0,0,C
0,315,38360187,39,0,0,C
0,304,56693902,58,1,0,C
0,293,61374300,26,0,0,C
0,284,11146489,75,1,0,C
0,306,70917096,31,0,0,C
0,307,27378651,81,0,0,C
0,314,37016743,84,0,0,C
0,291,85282577,68,0,0,C
0,306,88705773,66,1,0,C
0,296,28133701,35,0,0,C
0,283,86405992,88,0,0,C
0,306,35536938,76,1,0,C
0,281,2635375,40,1,0,C
0,306,54698103,57,0,0,C
0,303,5696210,66,0,0,C
0,313,44682489,72,0,0,C
0,312,50688966,24,1,0,C
0,299,58459762,76,0,0,C
0,284,28811952,88,0,0,C
0,303,50858274,23,0,0,C
0,304,76988083,75,0,0,C
0,295,6485493,21,0,0,C
0,309,29472307,26,0,0,C
0,302,46602520,38,0,0,C
0,298,50354576,76,0,0,C
0,281,42134098,82,0,0,C
0,284,17683403,65,0,0,C
0,299,65519876,52,1,0,C
0,290,90462991,51,0,0,C
