Date_No,date, Linc,  L2025,  L2030,  L2035,  L2040,  L2045,  L2050,  L2055,  L2060,  L2065,  G,  F,  C,  S,  I
4336,3/12/2021,22.5488,11.4494,40.045,11.983,45.188,12.3448,26.9679,13.1253,13.1252,13.125,16.5409,20.4879,58.8906,83.291,36.6904
4335,3/11/2021,22.55,11.4474,40.0342,11.9795,45.1723,12.3401,26.9559,13.112,13.1119,13.1118,16.5403,20.5964,58.8159,82.9816,36.7071
4334,3/10/2021,22.4903,11.3832,39.7503,11.8861,44.7876,12.2271,26.6921,12.9567,12.9567,12.9565,16.5397,20.5995,58.2064,80.8858,36.4054
4333,3/9/2021,22.4591,11.3511,39.6099,11.84,44.599,12.1718,26.5639,12.8832,12.8831,12.8829,16.5391,20.5722,57.8543,80.0832,36.2826
4332,3/8/2021,22.3835,11.2723,39.2642,11.7265,44.1335,12.0355,26.2471,12.7007,12.7006,12.7004,16.5385,20.5137,57.0422,78.1558,35.9095
4331,3/5/2021,22.4086,11.2983,39.3785,11.7641,44.2871,12.0804,26.3509,12.7582,12.7581,12.7579,16.5366,20.5751,57.3487,78.594,36.0141
4330,3/4/2021,22.3383,11.2231,39.0482,11.656,43.8447,11.9515,26.0516,12.5816,12.5815,12.5814,16.536,20.5958,56.2495,77.3815,35.8006
4329,3/3/2021,22.4124,11.3013,39.3931,11.7695,44.3113,12.0886,26.3706,12.7655,12.7654,12.7653,16.5354,20.6606,57.0046,79.6423,36.174
4328,3/2/2021,22.4699,11.3615,39.6579,11.8567,44.6691,12.1936,26.6147,12.9052,12.9052,12.9051,16.5348,20.7282,57.7561,81.3746,36.3008
4327,3/1/2021,22.5003,11.3956,39.809,11.9065,44.8744,12.254,26.7559,12.9893,12.9893,12.9892,16.5342,20.7061,58.2263,82.7846,36.288
4326,2/26/2021,22.3956,11.2825,39.3109,11.7431,44.2037,12.0579,26.2994,12.7194,12.7194,12.7194,16.5337,20.7403,56.8721,80.2962,35.7955
4325,2/25/2021,22.4202,11.3155,39.4599,11.7918,44.4049,12.1163,26.4366,12.8102,12.8101,12.8099,16.5322,20.5702,57.1374,80.0033,36.3578
4324,2/24/2021,22.5432,11.4429,40.0194,11.9758,45.1591,12.3373,26.9499,13.1027,13.1027,13.1026,16.5317,20.734,58.5631,83.0091,36.8649
4323,2/23/2021,22.5051,11.4014,39.8362,11.9157,44.9123,12.2651,26.7817,13.0024,13.0024,13.0024,16.5313,20.7584,57.9049,81.9282,36.8513
4322,2/22/2021,22.5055,11.4022,39.8403,11.9173,44.9197,12.2677,26.7882,13.0058,13.0058,13.0057,16.5308,20.769,57.8311,82.4579,36.8414
4321,2/19/2021,22.5378,11.4366,39.9931,11.9678,45.1278,12.3291,26.9313,13.0871,13.0872,13.0872,16.5293,20.8213,58.2765,83.8982,36.8219
4320,2/18/2021,22.527,11.4224,39.9277,11.9459,45.0352,12.3011,26.8644,13.0438,13.0439,13.0439,16.5288,20.8859,58.3815,82.5045,36.6474
4319,2/17/2021,22.5547,11.4528,40.0626,11.9904,45.219,12.3553,26.991,13.1183,13.1184,13.1184,16.5283,20.8903,58.6382,83.5239,36.8246
4318,2/16/2021,22.5768,11.4783,40.1771,12.0283,45.3757,12.4016,27.0996,13.1843,13.1844,13.1844,16.5278,20.8572,58.6471,84.2682,37.2076
4317,2/12/2021,22.5607,11.4599,40.0961,12.002,45.268,12.3705,27.027,13.1371,13.1372,13.1372,16.5258,20.9403,58.6737,84.7162,36.7143
4316,2/11/2021,22.5431,11.4393,40.0044,11.9719,45.1442,12.3343,26.9423,13.0839,13.084,13.0841,16.5253,21.0006,58.3956,84.2945,36.611
4315,2/10/2021,22.531,11.4259,39.9446,11.9523,45.063,12.3105,26.8865,13.0497,13.0498,13.0499,16.5248,21.024,58.2868,83.8722,36.5121
4314,2/9/2021,22.5267,11.4226,39.9309,11.9478,45.0453,12.3054,26.8749,13.0447,13.0448,13.0449,16.5244,20.9936,58.3054,83.9468,36.442
4313,2/8/2021,22.5183,11.4139,39.8926,11.9351,44.9928,12.2897,26.8383,13.0235,13.0236,13.0237,16.5239,20.9885,58.3606,83.5447,36.3007
4312,2/5/2021,22.4674,11.3608,39.6596,11.8586,44.6783,12.1974,26.6235,12.8988,12.8989,12.899,16.5224,20.9665,57.9305,82.0544,35.9659
4311,2/4/2021,22.4359,11.3263,39.5068,11.8083,44.4713,12.1366,26.4813,12.8141,12.8142,12.8142,16.5219,20.993,57.6991,80.9951,35.693
4310,2/3/2021,22.3972,11.2851,39.3258,11.7489,44.2272,12.0651,26.3149,12.7167,12.7168,12.7169,16.5214,20.9923,57.0737,79.6231,35.7287
4309,2/2/2021,22.385,11.2712,39.2641,11.7287,44.1441,12.0408,26.2582,12.6816,12.6817,12.6818,16.5209,21.0289,57.0159,79.4286,35.5329
4308,2/1/2021,22.3238,11.2055,38.9759,11.6343,43.7578,11.9281,25.9961,12.5275,12.5276,12.5277,16.5205,21.0586,56.2338,78.0376,35.2537
4307,1/29/2021,22.2547,11.1323,38.6548,11.529,43.3262,11.8019,25.7029,12.3569,12.357,12.3571,16.5201,21.0455,55.3453,76.3173,35.0033
4306,1/28/2021,22.3439,11.2273,39.0708,11.6652,43.8829,11.964,26.0789,12.5752,12.5753,12.5754,16.5189,21.0648,56.428,77.4542,35.5876
4305,1/27/2021,22.3098,11.1902,38.9077,11.6117,43.6634,11.8999,25.9297,12.4866,12.4867,12.4868,16.5186,21.087,55.8775,76.5946,35.5295
4304,1/26/2021,22.4243,11.3132,39.4487,11.7891,44.3904,12.1121,26.4229,12.7758,12.7759,12.776,16.5182,21.0811,57.3503,78.6099,36.1695
4303,1/25/2021,22.429,11.3187,39.4738,11.7976,44.4263,12.1231,26.449,12.791,12.7911,12.7912,16.5178,21.0851,57.4356,79.4762,36.0432
4302,1/22/2021,22.4267,11.3188,39.4765,11.7987,44.4321,12.1251,26.4545,12.7971,12.7972,12.7973,16.5166,21.038,57.2283,79.603,36.2547
4301,1/21/2021,22.4384,11.3316,39.5322,11.8167,44.5052,12.146,26.5028,12.8256,12.8257,12.8258,16.5163,21.0312,57.4005,79.1682,36.4215
4300,1/20/2021,22.4342,11.3266,39.5104,11.8098,44.4773,12.1383,26.4848,12.8135,12.8136,12.8137,16.5159,21.063,57.3777,79.6544,36.2434
4299,1/19/2021,22.3858,11.2756,39.2876,11.737,44.1801,12.0519,26.2847,12.697,12.6971,12.6972,16.5155,21.0574,56.5891,79.0346,36.1259
4298,1/15/2021,22.3489,11.238,39.1234,11.6832,43.9601,11.9876,26.1356,12.6111,12.6112,12.6113,16.514,21.0356,56.1305,78.1968,36.0051
4297,1/14/2021,22.3929,11.2863,39.3367,11.7533,44.2479,12.0719,26.3318,12.7275,12.7276,12.7277,16.5136,21.0084,56.5362,79.1185,36.4087
4296,1/13/2021,22.3878,11.2796,39.3057,11.7428,44.2032,12.0582,26.2989,12.7063,12.7064,12.7065,16.5132,21.0394,56.7413,78.3317,36.2083
4295,1/12/2021,22.3766,11.2704,39.2677,11.7305,44.1546,12.0444,26.268,12.6922,12.6923,12.6923,16.5129,20.9709,56.6117,78.7311,36.1288
4294,1/11/2021,22.3622,11.2545,39.1966,11.7069,44.0561,12.0149,26.1986,12.6511,12.6512,12.6512,16.5125,20.976,56.5882,77.5631,36.0531
4293,1/8/2021,22.4015,11.2964,39.3802,11.7669,44.3015,12.0862,26.3637,12.7465,12.7466,12.7467,16.5113,20.9966,56.9622,77.5623,36.5009
4292,1/7/2021,22.3694,11.2619,39.2293,11.7177,44.1003,12.0278,26.2283,12.6663,12.6664,12.6665,16.511,21.0204,56.644,77.5131,36.1346
4291,1/6/2021,22.3146,11.2033,38.9716,11.6332,43.7539,11.9265,25.9927,12.5283,12.5283,12.5284,16.5106,21.0339,55.8038,75.8003,36.1161
4290,1/5/2021,22.2686,11.151,38.7397,11.557,43.4397,11.8342,25.7768,12.3971,12.3972,12.3974,16.5102,21.1343,55.4862,74.2207,35.65
4289,1/4/2021,22.2429,11.1219,38.611,11.5147,43.2656,11.7831,25.6574,12.3247,12.3248,12.325,16.5099,21.1862,55.089,73.1568,35.6329
4288,12/31/2020,22.2777,11.1596,38.777,11.5691,43.4882,11.848,25.8081,12.412,12.4121,12.4123,16.5083,21.1961,55.9119,74.2011,35.3888
4287,12/30/2020,22.2726,11.1555,38.7605,11.564,43.4687,11.8429,25.797,12.4068,12.4069,12.4071,16.5079,21.1768,55.55,74.453,35.618
4286,12/29/2020,22.2601,11.1422,38.7036,11.5453,43.3914,11.82,25.7436,12.3764,12.3765,12.3767,16.5075,21.1628,55.4696,73.8024,35.5781
4285,12/28/2020,22.2517,11.1338,38.6689,11.5342,43.3473,11.8077,25.7157,12.3606,12.3607,12.3609,16.5072,21.1587,55.5933,74.7005,35.1518
4284,12/24/2020,22.2205,11.102,38.5355,11.4911,43.174,11.7583,25.6026,12.2957,12.2958,12.2959,16.5056,21.1497,55.1124,75.4766,34.8889
4283,12/23/2020,22.2066,11.0881,38.4775,11.4723,43.0982,11.7365,25.5528,12.2683,12.2683,12.2685,16.5052,21.1234,54.9125,75.624,34.8126
4282,12/22/2020,22.1874,11.0663,38.3838,11.4417,42.9726,11.6999,25.4675,12.2171,12.2172,12.2173,16.5048,21.1542,54.8709,75.4484,34.4679
4281,12/21/2020,22.185,11.0644,38.3753,11.4386,42.9589,11.6952,25.4562,12.2119,12.212,12.2121,16.5045,21.1252,54.981,74.6511,34.4964
4280,12/18/2020,22.2229,11.1068,38.5565,11.4978,43.2007,11.7654,25.6188,12.3068,12.3069,12.3071,16.5033,21.1218,55.1953,74.5379,35.1114
4279,12/17/2020,22.2387,11.1236,38.628,11.5211,43.2949,11.7926,25.6813,12.3424,12.3424,12.3426,16.5029,21.1357,55.3851,74.3614,35.2723
4278,12/16/2020,22.1983,11.0793,38.4381,11.4588,43.0393,11.7177,25.507,12.2411,12.2412,12.2413,16.5025,21.1339,55.0658,73.1929,34.9737
4277,12/15/2020,22.177,11.0569,38.343,11.4278,42.9134,11.6812,25.4227,12.1928,12.1929,12.1931,16.5022,21.1241,54.9683,73.2651,34.6469
4276,12/14/2020,22.131,11.0061,38.126,11.3568,42.623,11.5965,25.2262,12.0777,12.0778,12.078,16.5018,21.1453,54.2663,72.0817,34.5787
