Date,Precip in.,Snow in.
1/1/2020 ,0,0
1/2/2020 ,0,0
1/3/2020 ,0.19,0
1/4/2020 ,0.21,0
1/5/2020 ,0.15,0
1/6/2020 ,0,0
1/7/2020 ,0.03,3
1/8/2020 ,0.27,19
1/9/2020 ,0,0
1/10/2020 ,0,0
1/11/2020 ,0,0
1/12/2020 ,0.35,0
1/13/2020 ,0,0
1/14/2020 ,0.02,0
1/15/2020 ,0.06,0
1/16/2020 ,0,0
1/17/2020 ,0,0
1/18/2020 ,0.04,1
1/19/2020 ,0.39,0
1/20/2020 ,0,0
1/21/2020 ,0,0
1/22/2020 ,0,0
1/23/2020 ,0,0
1/24/2020 ,0,0
1/25/2020 ,1.51,0
1/26/2020 ,0.06,0
1/27/2020 ,0,0
1/28/2020 ,0,0
1/29/2020 ,0,0
1/30/2020 ,0,0
1/31/2020 ,0,0
2/1/2020 ,0.02,0
2/2/2020 ,0.11,0
2/3/2020 ,0,0
2/4/2020 ,0.02,0
2/5/2020 ,0.03,0
2/6/2020 ,0.2,0
2/7/2020 ,0.7,0
2/8/2020 ,0.29,0
2/9/2020 ,0,0
2/10/2020 ,0.08,0
2/11/2020 ,0.64,0
2/12/2020 ,0.1,0
2/13/2020 ,0.19,0
2/14/2020 ,0.06,0
2/15/2020 ,0,0
2/16/2020 ,0,0
2/17/2020 ,0,0
2/18/2020 ,0,0
2/19/2020 ,0.01,0
2/20/2020 ,0,0
2/21/2020 ,0,0
2/22/2020 ,0,0
2/23/2020 ,0,0
2/24/2020 ,0,0
2/25/2020 ,0.13,0
2/26/2020 ,0.24,0
2/27/2020 ,0.46,0
2/28/2020 ,0,0
2/29/2020 ,0,0
3/1/2020 ,0,0
3/2/2020 ,0.02,0
3/3/2020 ,0.14,0
3/4/2020 ,0.04,0
3/5/2020 ,0,0
3/6/2020 ,0,0
3/7/2020 ,0.01,0
3/8/2020 ,0,0
3/9/2020 ,0,0
3/10/2020 ,0,0
3/11/2020 ,0.03,0
3/12/2020 ,0,0
3/13/2020 ,0.27,0
3/14/2020 ,0.02,0
3/15/2020 ,0.27,0
3/16/2020 ,0,0
3/17/2020 ,0,0
3/18/2020 ,0.01,0
3/19/2020 ,0.65,0
3/20/2020 ,0.02,0
3/21/2020 ,0.01,0
3/22/2020 ,0,0
3/23/2020 ,0.11,0
3/24/2020 ,0.15,0
3/25/2020 ,0.06,0
3/26/2020 ,0.23,0
3/27/2020 ,0.01,0
3/28/2020 ,0.4,0
3/29/2020 ,0.14,0
3/30/2020 ,0.01,0
3/31/2020 ,0.02,0
4/1/2020 ,0.18,0
4/2/2020 ,0,0
4/3/2020 ,0,0
4/4/2020 ,0,0
4/5/2020 ,0,0
4/6/2020 ,0.02,0
4/7/2020 ,0.03,0
4/8/2020 ,0.21,0
4/9/2020 ,0.12,0
4/10/2020 ,0.03,0
4/11/2020 ,0,0
4/12/2020 ,0.02,0
4/13/2020 ,1.56,0
4/14/2020 ,0.64,0
4/15/2020 ,0.28,0
4/16/2020 ,0,0
4/17/2020 ,0,0
4/18/2020 ,0.06,0
4/19/2020 ,0.02,0
4/20/2020 ,0,0
4/21/2020 ,0,0
4/22/2020 ,0.03,0
4/23/2020 ,0.05,0
